,Predator X,Predator Y,Predator Z,Prey X,Prey Y,Prey Z,Predator Stamina,Action
1052,0.2857142857142857,0.42857142857142855,0.0,0.14285714285714285,0.14285714285714285,0.0,0.85,8
1053,0.2857142857142857,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.73,6
1054,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.61,0
1055,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.66,0
1056,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.7100000000000001,8
1057,0.0,0.0,0.0,0.0,0.0,0.0,0.5900000000000001,8
1058,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.4700000000000001,2
1059,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.44000000000000006,8
1060,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.32000000000000006,3
1061,0.0,0.14285714285714285,0.0,0.0,0.2857142857142857,0.0,0.29000000000000004,3
1062,0.0,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0,0.26,4
1063,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.23,0
1064,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.28,7
1065,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.16000000000000003,4
1066,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.13000000000000003,4
1067,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.10000000000000003,4
1068,0.0,0.0,0.0,0.0,0.0,0.0,0.07000000000000003,0
1069,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.12000000000000004,3
1070,0.0,0.14285714285714285,0.0,0.0,0.2857142857142857,0.0,0.09000000000000004,3
1071,0.0,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0,0.06000000000000004,5
1072,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.11000000000000004,4
1073,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.08000000000000004,4
1074,0.0,0.0,0.0,0.0,0.0,0.0,0.050000000000000044,0
1075,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.10000000000000005,3
1076,0.0,0.14285714285714285,0.0,0.0,0.2857142857142857,0.0,0.07000000000000005,3
1077,0.0,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0,0.04000000000000005,5
1078,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.09000000000000005,4
1079,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.06000000000000005,5
1080,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.11000000000000006,4
1081,0.0,0.0,0.0,0.0,0.0,0.0,0.08000000000000006,0
1082,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.13000000000000006,3
1083,0.0,0.14285714285714285,0.0,0.0,0.2857142857142857,0.0,0.10000000000000006,3
1084,0.0,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0,0.07000000000000006,5
1085,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.12000000000000006,4
1086,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.09000000000000007,4
1087,0.0,0.0,0.0,0.0,0.0,0.0,0.06000000000000007,0
1088,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.11000000000000007,3
1089,0.0,0.14285714285714285,0.0,0.0,0.2857142857142857,0.0,0.08000000000000007,3
1090,0.0,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0,0.05000000000000007,5
1091,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.10000000000000007,4
1092,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.07000000000000008,4
1093,0.0,0.0,0.0,0.0,0.0,0.0,0.04000000000000008,0
1094,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.09000000000000008,3
1095,0.0,0.14285714285714285,0.0,0.0,0.2857142857142857,0.0,0.06000000000000008,3
1096,0.0,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0,0.030000000000000082,5
1097,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.08000000000000008,4
1098,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.050000000000000086,5
1099,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.10000000000000009,4
1100,0.2857142857142857,0.42857142857142855,0.0,0.5714285714285714,0.7142857142857143,0.0,1.0,3
1101,0.2857142857142857,0.5714285714285714,0.0,0.42857142857142855,0.7142857142857143,0.0,0.97,5
